ID,Area,City,Restaurant,Avg Spend,Food type
1,Powai,Mumbai,"58,9,25,60",800,Mughlai
2,Powai,Mumbai,11,700,Mughlai
3,Powai,Mumbai,"87,35,79,108,64",1000,Mughlai
4,Powai,Mumbai,"73,108,64,35",200,Mughlai
5,Powai,Mumbai,"27,97,95,16",500,Mughlai
6,Powai,Mumbai,"101,111,71",700,Mughlai
7,Powai,Mumbai,"46,63,25,73",100,Mughlai
8,Powai,Mumbai,"49,108,23,35,0",1000,Mughlai
9,Powai,Mumbai,"49,29,44,76",1100,Mughlai
10,Powai,Mumbai,"56,68,29,107,8",300,Mughlai
11,Powai,Mumbai,"70,71,109,2",800,Mughlai
12,Powai,Mumbai,72,900,Mughlai
13,Powai,Mumbai,"77,14,108",400,Mughlai
14,Powai,Mumbai,"53,75,81",100,Mughlai
15,Powai,Mumbai,"0,28",200,Mughlai
16,Powai,Mumbai,"105,81,66,12",1000,Mughlai
17,Powai,Mumbai,96,900,Mughlai
18,Powai,Mumbai,"2,103,53,90,75",100,Mughlai
19,Powai,Mumbai,"56,44,1",1000,Mughlai
20,Powai,Mumbai,"35,51,60",900,Mughlai
21,Powai,Mumbai,"84,26",100,Mughlai
22,Powai,Mumbai,"4,102,69,57",800,Mughlai
23,Powai,Mumbai,"104,73,25",500,Mughlai
24,Powai,Mumbai,"80,38",900,Mughlai
25,Powai,Mumbai,"38,72,95,56,35",200,Mughlai
26,Powai,Mumbai,20,700,Mughlai
27,Powai,Mumbai,"96,30",800,Mughlai
28,Powai,Mumbai,29,100,Mughlai
29,Powai,Mumbai,"6,69",700,Mughlai
30,Powai,Mumbai,"93,16,32,107",600,Mughlai
31,Powai,Mumbai,"56,59,83,96,37",700,Mughlai
32,Powai,Mumbai,"5,49,19,80,73",300,Mughlai
33,Powai,Mumbai,"4,51,100,45,99",1100,Mughlai
34,Powai,Mumbai,"70,15,62,80",400,Mughlai
35,Powai,Mumbai,113,100,Mughlai
36,Powai,Mumbai,"109,70,101,46,4",1100,Mughlai
37,Powai,Mumbai,"64,14",600,Mughlai
38,Powai,Mumbai,"9,62,100,91",600,Mughlai
39,Powai,Mumbai,"8,31,44,40,66",400,Mughlai
40,Powai,Mumbai,"80,51,48",200,Mughlai
41,Powai,Mumbai,21,800,Mughlai
42,Powai,Mumbai,"64,37",500,Mughlai
43,Powai,Mumbai,"68,1,16,96,54",800,Mughlai
44,Powai,Mumbai,"93,35",1100,Mughlai
45,Powai,Mumbai,35,1100,Mughlai
46,Powai,Mumbai,"106,41,95,23,32",800,Mughlai
47,Powai,Mumbai,"12,92,28,6",400,Mughlai
48,Powai,Mumbai,48,300,Mughlai
49,Powai,Mumbai,19,1000,Mughlai
50,Powai,Mumbai,48,400,Mughlai
51,Powai,Mumbai,"99,88,39,104,87",300,Mughlai
52,Powai,Mumbai,"77,91,15,23",100,Mughlai
53,Powai,Mumbai,"36,13,21,30,73",800,Mughlai
54,Powai,Mumbai,"37,29,18,96",1100,Mughlai
55,Powai,Mumbai,"7,15,12,6,40",100,Mughlai
56,Powai,Mumbai,"44,11,5",1100,Mughlai
57,Powai,Mumbai,"63,75,42,7,112",500,Mughlai
58,Powai,Mumbai,108,500,Mughlai
59,Powai,Mumbai,"1,57,103,35,105",100,Mughlai
60,Powai,Mumbai,"98,3,81,100",200,Mughlai
61,Powai,Mumbai,61,300,Mughlai
62,Powai,Mumbai,107,400,Mughlai
63,Powai,Mumbai,"76,6,90,46,12",100,Mughlai
64,Powai,Mumbai,88,700,Mughlai
65,Powai,Mumbai,"79,53",900,Mughlai
66,Powai,Mumbai,29,700,Mughlai
67,Powai,Mumbai,"1,16,39,70,92",1100,Mughlai
68,Powai,Mumbai,"111,24",200,Mughlai
69,Powai,Mumbai,83109,100,Mughlai
70,Powai,Mumbai,82,200,Mughlai
71,Powai,Mumbai,"71,95",800,Mughlai
72,Powai,Mumbai,88,1000,Mughlai
73,Powai,Mumbai,"44,3,92,105",900,Mughlai
74,Powai,Mumbai,"82,33,21,84",800,Mughlai
75,Powai,Mumbai,"17,51,48",100,Mughlai
76,Powai,Mumbai,"84,6,52,109,42",800,Mughlai
77,Powai,Mumbai,"113,57,2",600,Mughlai
78,Powai,Mumbai,"89,33,78,98,14",400,Mughlai
79,Powai,Mumbai,"2,35,45,81",700,Mughlai
80,Powai,Mumbai,"8,94,15,45",1100,Mughlai
81,Powai,Mumbai,"60,55,81,101",800,Mughlai
82,Powai,Mumbai,"10,32,78",500,Mughlai
83,Powai,Mumbai,"108,75,83",500,Mughlai
84,Powai,Mumbai,109,700,Mughlai
85,Powai,Mumbai,"77,35,106,27,84",100,Mughlai
86,Powai,Mumbai,"68,62,112,67",700,Mughlai
87,Powai,Mumbai,"28,14",500,Mughlai
88,Powai,Mumbai,"68,106,40,27,24",600,Mughlai
89,Powai,Mumbai,"82,51,17,62,63",200,Mughlai
90,Powai,Mumbai,"54,22",400,Mughlai
91,Powai,Mumbai,"94,28",200,Mughlai
92,Powai,Mumbai,"1,79,60,15,41",700,Mughlai
93,Powai,Mumbai,"11,101,72,45",100,Mughlai
94,Powai,Mumbai,"54,1,16,27",700,Mughlai
95,Powai,Mumbai,"56,81,106,76",1100,Mughlai
96,Powai,Mumbai,"81,61",900,Mughlai
97,Powai,Mumbai,"53,113,93",400,Mughlai
98,Powai,Mumbai,"21,33,64",700,Mughlai
99,Powai,Mumbai,"23,70",500,Mughlai
100,Powai,Mumbai,"58,5,17",900,Mughlai
101,Powai,Mumbai,94,100,Mughlai
102,Powai,Mumbai,19,600,Mughlai
103,Powai,Mumbai,"18,94,4,58,88",1100,Mughlai
104,Powai,Mumbai,"109,50,91,48",400,Mughlai
105,Powai,Mumbai,68,200,Mughlai
106,Powai,Mumbai,"93,44",600,Mughlai
107,Powai,Mumbai,"89,37",900,Mughlai
108,Powai,Mumbai,104,500,Mughlai
109,Powai,Mumbai,"71,43",700,Mughlai
110,Powai,Mumbai,"24,29,69",200,Mughlai
111,Powai,Mumbai,61107,600,Mughlai
112,Powai,Mumbai,88,900,Mughlai
113,Powai,Mumbai,"85,92",800,Mughlai
114,Powai,Mumbai,45,600,Mughlai
115,Powai,Mumbai,"33,64,75,32",200,Mughlai
116,Powai,Mumbai,"105,27",600,Mughlai
117,Powai,Mumbai,"65,62,74,99",900,Mughlai
118,Powai,Mumbai,69,600,Mughlai
119,Powai,Mumbai,"5,92,89",900,Mughlai
120,Powai,Mumbai,93108110,600,Mughlai
121,Powai,Mumbai,"57,36,14,23,54",700,Mughlai
122,Powai,Mumbai,77,500,Mughlai
123,Powai,Mumbai,"65,61",600,Mughlai
124,Powai,Mumbai,92,700,Mughlai
125,Powai,Mumbai,55,700,Mughlai
126,Powai,Mumbai,"112,32,47,2",500,Mughlai
127,Powai,Mumbai,"90,95",300,Mughlai
128,Powai,Mumbai,"90,47,3",200,Mughlai
129,Powai,Mumbai,"87,106,84",400,Mughlai
130,Powai,Mumbai,"101,107,37,109",500,Mughlai
131,Powai,Mumbai,"86,97,26",200,Mughlai
132,Powai,Mumbai,"33,99,91",300,Mughlai
133,Powai,Mumbai,"90,11,4,78",400,Mughlai
134,Powai,Mumbai,"33,108,61",400,Mughlai
135,Powai,Mumbai,"102,92,104,98",800,Mughlai
136,Powai,Mumbai,"22,40,65",800,Mughlai
137,Powai,Mumbai,"36,96",1100,Mughlai
138,Powai,Mumbai,"30,99",1000,Mughlai
139,Powai,Mumbai,31,800,Mughlai
140,Powai,Mumbai,"110,55,72,113,106",1100,Mughlai
141,Powai,Mumbai,3,1000,Mughlai
142,Powai,Mumbai,25103,1000,Mughlai
143,Powai,Mumbai,"95,21,39,88,4",200,Mughlai
144,Powai,Mumbai,"35,69,45,2,14",100,Mughlai
145,Powai,Mumbai,"38,111,5",800,Mughlai
146,Powai,Mumbai,76,300,Mughlai
147,Powai,Mumbai,"92,35,103",900,Mughlai
148,Powai,Mumbai,"59,72",1000,Mughlai
149,Powai,Mumbai,91108,800,Mughlai
150,Powai,Mumbai,"69,45,65,104",1000,Mughlai
151,Powai,Mumbai,91112,100,Mughlai
152,Powai,Mumbai,"4,40",1100,Mughlai
153,Powai,Mumbai,"20,29,10,65,61",900,Mughlai
154,Powai,Mumbai,"69,93,60,46,83",1100,Mughlai
155,Powai,Mumbai,103,900,Mughlai
156,Powai,Mumbai,"82,16,5,56,17",300,Mughlai
157,Powai,Mumbai,"90,33,1,88,53",800,Mughlai
158,Powai,Mumbai,98,400,Mughlai
159,Powai,Mumbai,"91,41,81,64,105",200,Mughlai
160,Powai,Mumbai,"98,69,4,60",600,Mughlai
161,Powai,Mumbai,"59,67",1000,Mughlai
162,Powai,Mumbai,"51,80,77,65",900,Mughlai
163,Powai,Mumbai,"67,3,12,56",400,Mughlai
164,Powai,Mumbai,9113,1000,Mughlai
165,Powai,Mumbai,"38,47,40",600,Mughlai
166,Powai,Mumbai,"101,90,30,13",300,Mughlai
167,Powai,Mumbai,"83,67,22,28,31",900,Mughlai
168,Powai,Mumbai,"88,33,113,18",1000,Mughlai
169,Powai,Mumbai,"28,74",700,Mughlai
170,Powai,Mumbai,44107,1100,Mughlai
171,Powai,Mumbai,44,600,Mughlai
172,Powai,Mumbai,"81,52,7,99,101",900,Mughlai
173,Powai,Mumbai,"51,6",400,Mughlai
174,Powai,Mumbai,87,100,Mughlai
175,Powai,Mumbai,"86,20,92,62",200,Mughlai
176,Powai,Mumbai,"76,24,13",400,Mughlai
177,Powai,Mumbai,"61,98,24,54",1000,Mughlai
178,Powai,Mumbai,"113,50",800,Mughlai
179,Powai,Mumbai,97109,300,Mughlai
180,Powai,Mumbai,"104,47,19,21,112",500,Mughlai
181,Powai,Mumbai,36,1000,Mughlai
182,Powai,Mumbai,"107,72,26",600,Mughlai
183,Powai,Mumbai,46,400,Mughlai
184,Powai,Mumbai,"61,79,73,76,67",800,Mughlai
185,Powai,Mumbai,104,400,Mughlai
186,Powai,Mumbai,"113,55",200,Mughlai
187,Powai,Mumbai,"100,56,57",900,Mughlai
188,Powai,Mumbai,"52,94,80",500,Mughlai
189,Powai,Mumbai,"67,88,46,7,84",500,Mughlai
190,Powai,Mumbai,29,500,Mughlai
191,Powai,Mumbai,"57,30,65",400,Mughlai
192,Powai,Mumbai,"43,31,58,24,17",600,Mughlai
193,Powai,Mumbai,"110,15,76,56",300,Mughlai
194,Powai,Mumbai,"90,102,17,52,65",800,Mughlai
195,Powai,Mumbai,"106,21,69,19,90",300,Mughlai
196,Powai,Mumbai,"87,19,58",300,Mughlai
197,Powai,Mumbai,"29,60",200,Mughlai
198,Powai,Mumbai,"20,34",500,Mughlai
199,Powai,Mumbai,"99,80",100,Mughlai
200,Powai,Mumbai,"55,9",400,Mughlai
201,Powai,Mumbai,"70,101,91,51,43",900,Mughlai
202,Powai,Mumbai,"49,92,103",600,Mughlai
203,Powai,Mumbai,"0,44,16,53,34",600,Mughlai
204,Powai,Mumbai,"90,98,53",900,Mughlai
205,Powai,Mumbai,"2,52,96,4,22",700,Mughlai
206,Powai,Mumbai,112109103,600,Mughlai
207,Powai,Mumbai,"9,78,74,76,57",800,Mughlai
208,Powai,Mumbai,"101,45,68",1100,Mughlai
209,Powai,Mumbai,110,1100,Mughlai
210,Powai,Mumbai,"77,53,3,108",500,Mughlai
211,Powai,Mumbai,"41,101,37,112",300,Mughlai
212,Powai,Mumbai,"23,20,0,91,64",1100,Mughlai
213,Powai,Mumbai,"107,63",500,Mughlai
214,Powai,Mumbai,"64,32,62,57",200,Mughlai
215,Powai,Mumbai,106,1100,Mughlai
216,Powai,Mumbai,"17,1",800,Mughlai
217,Powai,Mumbai,29,200,Mughlai
218,Powai,Mumbai,"64,37",900,Mughlai
219,Powai,Mumbai,"57,91",400,Mughlai
220,Powai,Mumbai,"11,19",100,Mughlai
221,Powai,Mumbai,5105,200,Mughlai
222,Powai,Mumbai,35,1000,Mughlai
223,Powai,Mumbai,"31,43,74",700,Mughlai
224,Powai,Mumbai,"107,79,112",200,Mughlai
225,Powai,Mumbai,"91,107,12,95",300,Mughlai
226,Powai,Mumbai,"42,35",300,Mughlai
227,Powai,Mumbai,47,600,Mughlai
228,Powai,Mumbai,"68,48",1000,Mughlai
229,Powai,Mumbai,"58,33,25",200,Mughlai
230,Powai,Mumbai,"102,50",500,Mughlai
231,Powai,Mumbai,"66,57",300,Mughlai
232,Powai,Mumbai,"62,50",1100,Mughlai
233,Powai,Mumbai,"31,43,34",700,Mughlai
234,Powai,Mumbai,"69,73",1000,Mughlai
235,Powai,Mumbai,33,700,Mughlai
236,Powai,Mumbai,"3,83",700,Mughlai
237,Powai,Mumbai,"12,34,62,27,69",700,Mughlai
238,Powai,Mumbai,"11,9",1000,Mughlai
239,Powai,Mumbai,"28,98",800,Mughlai
240,Powai,Mumbai,"29,44,75,56,19",1000,Mughlai
241,Powai,Mumbai,"66,25,79,35,68",400,Mughlai
242,Powai,Mumbai,"94,104,62",400,Mughlai
243,Powai,Mumbai,"10,23",500,Mughlai
244,Powai,Mumbai,"34,70,112,16",800,Mughlai
245,Powai,Mumbai,"37,103,87,86",900,Mughlai
246,Powai,Mumbai,"78,42,5",700,Mughlai
247,Powai,Mumbai,"10,21",200,Mughlai
248,Powai,Mumbai,104112,500,Mughlai
249,Powai,Mumbai,"24,9,29,51,14",600,Mughlai
250,Powai,Mumbai,"110,10,98,93,66",600,Mughlai
251,Powai,Mumbai,"27,95,65,56,88",100,Mughlai
252,Powai,Mumbai,"27,38,92,91",1100,Mughlai
253,Powai,Mumbai,"82,80,70,56,28",800,Mughlai
254,Powai,Mumbai,"68,13,72,70,10",300,Mughlai
255,Powai,Mumbai,108,500,Mughlai
256,Powai,Mumbai,"48,4,24",900,Mughlai
257,Powai,Mumbai,"76,80,12",600,Mughlai
258,Powai,Mumbai,"84,88,57,82",700,Mughlai
259,Powai,Mumbai,"2,40,86,16,92",900,Mughlai
260,Powai,Mumbai,"99,105,3",1000,Mughlai
261,Powai,Mumbai,"42,60",1100,Mughlai
262,Powai,Mumbai,"112,70,113",100,Mughlai
263,Powai,Mumbai,"15,3",500,Mughlai
264,Powai,Mumbai,"53,40,80",600,Mughlai
265,Powai,Mumbai,"103,36,55",700,Mughlai
266,Powai,Mumbai,"59,79",600,Mughlai
267,Powai,Mumbai,"18,33,83,85",500,Mughlai
268,Powai,Mumbai,"34,70,11",1000,Mughlai
269,Powai,Mumbai,"85,109,22,86,4",900,Mughlai
270,Powai,Mumbai,"42,60,8",600,Mughlai
271,Powai,Mumbai,"19,113,30,101,41",1000,Mughlai
272,Powai,Mumbai,"105,88",300,Mughlai
273,Powai,Mumbai,4,800,Mughlai
274,Powai,Mumbai,"113,54,83",600,Mughlai
275,Powai,Mumbai,"90,42,11,80,35",200,Mughlai
276,Powai,Mumbai,"29,54",800,Mughlai
277,Powai,Mumbai,"93,98,12,110,50",900,Mughlai
278,Powai,Mumbai,"61,69,2,31,90",900,Mughlai
279,Powai,Mumbai,"112,8,39,16",1000,Mughlai
280,Powai,Mumbai,"96,64,9,82,33",500,Mughlai
281,Powai,Mumbai,"63,28,25",400,Mughlai
282,Powai,Mumbai,"68,100,86,51",800,Mughlai
283,Powai,Mumbai,"67,70,54,65,109",1000,Mughlai
284,Powai,Mumbai,"47,90,86,77,40",1000,Mughlai
285,Powai,Mumbai,"27,3,15",1000,Mughlai
286,Powai,Mumbai,"5,26,1",800,Mughlai
287,Powai,Mumbai,"31,62",400,Mughlai
288,Powai,Mumbai,"34,99",1000,Mughlai
289,Powai,Mumbai,"48,56,62,35",700,Mughlai
290,Powai,Mumbai,"107,35,16",1100,Mughlai
291,Powai,Mumbai,107,400,Mughlai
292,Powai,Mumbai,48,700,Mughlai
293,Powai,Mumbai,"43,69,38,21",200,Mughlai
294,Powai,Mumbai,"40,83,53,43,9",900,Mughlai
295,Powai,Mumbai,"38,47",100,Mughlai
296,Powai,Mumbai,"113,3,23",500,Mughlai
297,Powai,Mumbai,"94,33,72",700,Mughlai
298,Powai,Mumbai,"14,24,27",100,Mughlai
299,Powai,Mumbai,39,900,Mughlai
300,Powai,Mumbai,"31,59",500,Mughlai
301,Powai,Mumbai,"54,36",400,Mughlai
302,Powai,Mumbai,"89,29,48",400,Mughlai
303,Powai,Mumbai,"95,71,35",300,Mughlai
304,Powai,Mumbai,"96,101,11,9,42",1000,Mughlai
305,Powai,Mumbai,"43,11,84,42,78",700,Mughlai
306,Powai,Mumbai,"36,57,51,63,95",300,Mughlai
